"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 08:47:51 GMT 2024","Wed Jun 12 08:47:53 GMT 2024","2654","tests","test_edit","","","","test_edit",""
"passed","Wed Jun 12 08:47:37 GMT 2024","Wed Jun 12 08:47:37 GMT 2024","16","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Wed Jun 12 08:47:55 GMT 2024","Wed Jun 12 08:47:55 GMT 2024","42","tests","test_home","","","","test_successful_login",""
"passed","Wed Jun 12 08:47:37 GMT 2024","Wed Jun 12 08:47:37 GMT 2024","737","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Wed Jun 12 08:47:38 GMT 2024","Wed Jun 12 08:47:38 GMT 2024","301","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Wed Jun 12 08:47:57 GMT 2024","Wed Jun 12 08:47:57 GMT 2024","683","tests","test_login","","","","test_failed_login",""
"passed","Wed Jun 12 08:47:55 GMT 2024","Wed Jun 12 08:47:56 GMT 2024","683","tests","test_login","","","","test_successful_login",""
"passed","Wed Jun 12 08:47:49 GMT 2024","Wed Jun 12 08:47:49 GMT 2024","814","tests","test_edit","","","","test_autocomplete",""
"passed","Wed Jun 12 08:47:37 GMT 2024","Wed Jun 12 08:47:38 GMT 2024","311","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
