"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 08:56:31 GMT 2024","Wed Jun 12 08:56:31 GMT 2024","39","tests","test_home","","","","test_successful_login",""
"passed","Wed Jun 12 08:56:33 GMT 2024","Wed Jun 12 08:56:34 GMT 2024","692","tests","test_login","","","","test_failed_login",""
"passed","Wed Jun 12 08:56:23 GMT 2024","Wed Jun 12 08:56:23 GMT 2024","15","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Wed Jun 12 08:56:32 GMT 2024","Wed Jun 12 08:56:33 GMT 2024","686","tests","test_login","","","","test_successful_login",""
"passed","Wed Jun 12 08:56:22 GMT 2024","Wed Jun 12 08:56:23 GMT 2024","729","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Wed Jun 12 08:56:27 GMT 2024","Wed Jun 12 08:56:30 GMT 2024","2498","tests","test_edit","","","","test_edit",""
"passed","Wed Jun 12 08:56:25 GMT 2024","Wed Jun 12 08:56:26 GMT 2024","671","tests","test_edit","","","","test_autocomplete",""
"passed","Wed Jun 12 08:56:23 GMT 2024","Wed Jun 12 08:56:23 GMT 2024","318","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Wed Jun 12 08:56:23 GMT 2024","Wed Jun 12 08:56:23 GMT 2024","304","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
