"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 09:00:55 GMT 2024","Wed Jun 12 09:00:55 GMT 2024","687","tests","test_login","","","","test_successful_login",""
"passed","Wed Jun 12 09:00:40 GMT 2024","Wed Jun 12 09:00:40 GMT 2024","20","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Wed Jun 12 09:00:41 GMT 2024","Wed Jun 12 09:00:41 GMT 2024","304","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Wed Jun 12 09:00:40 GMT 2024","Wed Jun 12 09:00:41 GMT 2024","318","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Wed Jun 12 09:00:50 GMT 2024","Wed Jun 12 09:00:53 GMT 2024","2621","tests","test_edit","","","","test_edit",""
"passed","Wed Jun 12 09:00:39 GMT 2024","Wed Jun 12 09:00:40 GMT 2024","839","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Wed Jun 12 09:00:56 GMT 2024","Wed Jun 12 09:00:57 GMT 2024","680","tests","test_login","","","","test_failed_login",""
"passed","Wed Jun 12 09:00:54 GMT 2024","Wed Jun 12 09:00:54 GMT 2024","43","tests","test_home","","","","test_successful_login",""
"passed","Wed Jun 12 09:00:48 GMT 2024","Wed Jun 12 09:00:49 GMT 2024","837","tests","test_edit","","","","test_autocomplete",""
