"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 09:06:51 GMT 2024","Wed Jun 12 09:06:51 GMT 2024","14","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Wed Jun 12 09:07:12 GMT 2024","Wed Jun 12 09:07:15 GMT 2024","2954","tests","test_edit","","","","test_edit",""
"passed","Wed Jun 12 09:06:51 GMT 2024","Wed Jun 12 09:06:51 GMT 2024","307","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Wed Jun 12 09:07:19 GMT 2024","Wed Jun 12 09:07:19 GMT 2024","679","tests","test_login","","","","test_failed_login",""
"passed","Wed Jun 12 09:07:10 GMT 2024","Wed Jun 12 09:07:11 GMT 2024","1051","tests","test_edit","","","","test_autocomplete",""
"passed","Wed Jun 12 09:07:17 GMT 2024","Wed Jun 12 09:07:18 GMT 2024","688","tests","test_login","","","","test_successful_login",""
"passed","Wed Jun 12 09:07:17 GMT 2024","Wed Jun 12 09:07:17 GMT 2024","38","tests","test_home","","","","test_successful_login",""
"passed","Wed Jun 12 09:06:51 GMT 2024","Wed Jun 12 09:06:51 GMT 2024","296","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Wed Jun 12 09:06:50 GMT 2024","Wed Jun 12 09:06:51 GMT 2024","713","tests.api","test_api_login","","","","test_successful_api_login",""
