"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 08:42:08 GMT 2024","Wed Jun 12 08:42:11 GMT 2024","2636","tests","test_edit","","","","test_edit",""
"passed","Wed Jun 12 08:42:13 GMT 2024","Wed Jun 12 08:42:14 GMT 2024","680","tests","test_login","","","","test_successful_login",""
"passed","Wed Jun 12 08:41:56 GMT 2024","Wed Jun 12 08:41:56 GMT 2024","16","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Wed Jun 12 08:42:12 GMT 2024","Wed Jun 12 08:42:12 GMT 2024","44","tests","test_home","","","","test_successful_login",""
"passed","Wed Jun 12 08:42:06 GMT 2024","Wed Jun 12 08:42:07 GMT 2024","831","tests","test_edit","","","","test_autocomplete",""
"passed","Wed Jun 12 08:41:57 GMT 2024","Wed Jun 12 08:41:57 GMT 2024","300","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Wed Jun 12 08:41:56 GMT 2024","Wed Jun 12 08:41:56 GMT 2024","750","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Wed Jun 12 08:42:14 GMT 2024","Wed Jun 12 08:42:15 GMT 2024","678","tests","test_login","","","","test_failed_login",""
"passed","Wed Jun 12 08:41:56 GMT 2024","Wed Jun 12 08:41:57 GMT 2024","314","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
