"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 08:51:58 GMT 2024","Wed Jun 12 08:51:58 GMT 2024","687","tests","test_login","","","","test_failed_login",""
"passed","Wed Jun 12 08:51:50 GMT 2024","Wed Jun 12 08:51:50 GMT 2024","835","tests","test_edit","","","","test_autocomplete",""
"passed","Wed Jun 12 08:51:52 GMT 2024","Wed Jun 12 08:51:55 GMT 2024","2701","tests","test_edit","","","","test_edit",""
"passed","Wed Jun 12 08:51:34 GMT 2024","Wed Jun 12 08:51:34 GMT 2024","305","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Wed Jun 12 08:51:34 GMT 2024","Wed Jun 12 08:51:34 GMT 2024","21","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Wed Jun 12 08:51:56 GMT 2024","Wed Jun 12 08:51:57 GMT 2024","697","tests","test_login","","","","test_successful_login",""
"passed","Wed Jun 12 08:51:34 GMT 2024","Wed Jun 12 08:51:34 GMT 2024","318","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Wed Jun 12 08:51:56 GMT 2024","Wed Jun 12 08:51:56 GMT 2024","45","tests","test_home","","","","test_successful_login",""
"passed","Wed Jun 12 08:51:33 GMT 2024","Wed Jun 12 08:51:34 GMT 2024","790","tests.api","test_api_login","","","","test_successful_api_login",""
